Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Training Stress ScoreÂ®,Steps,Decompression,Best Lap Time,Number of Laps,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,2026-05-11 16:44:30,False,Puslinch Running,5.67,425,00:34:32,138,155,3.3,169,191,06:05:00,04:50:00,40,53,0.97,0,5804,No,00:03:11.600000,7,00:34:31,00:35:20,315,339
Running,2026-05-10 18:58:26,False,Puslinch Running,6.4,459,00:35:33,146,166,3.8,170,181,05:33:00,04:03:00,14,17,1.05,0,6094,No,00:02:59.100000,9,00:35:32,00:35:33,328,339
Running,2026-05-08 18:25:53,False,Puslinch Running,1.98,135,00:12:30,122,131,2.1,166,170,06:20:00,05:25:00,3,22,0.95,0,2050,No,00:06:07,2,00:12:30,00:12:30,315,339
Running,2026-05-05 12:05:01,False,Kingston Running,6.5,435,00:36:08,138,149,3.4,169,177,05:33:00,04:49:00,23,24,1.06,0,6064,No,00:03:14.800000,7,00:36:07,00:36:08,82,91
Running,2026-05-04 09:48:48,False,Puslinch Running,6.32,454,00:37:01,144,167,3.8,169,222,05:51:00,04:06:00,9,12,1,0,6278,No,00:02:59.700000,9,00:37:00,00:37:01,328,339
Running,2026-05-03 09:23:27,False,Puslinch Running,1.5,124,00:10:04,--,--,--,167,172,06:42:00,05:13:00,10,13,0.9,0,1664,No,00:03:26.900000,2,00:10:04,00:10:04,323,339
Running,2026-05-03 08:54:33,False,Puslinch Running,0.2,11,00:01:31.400000,106,115,1,169,172,07:35:00,05:42:00,--,--,0.78,0,232,No,00:01:31.400000,1,00:01:31.400000,00:01:31.400000,336,339
Running,2026-05-01 17:49:55,False,Puslinch Running,4.09,280,00:27:30,122,141,2.4,166,176,06:44:00,05:33:00,20,22,0.9,0,4496,No,00:00:39.500000,5,00:27:24,00:29:01,315,338
Running,2026-04-29 19:11:53,False,Puslinch Running,4.73,337,00:28:01,138,155,3.3,171,180,05:55:00,04:50:00,12,25,0.99,0,4778,No,00:04:49.700000,5,00:28:00,00:28:41,315,339
Running,2026-04-28 18:00:02,False,Puslinch Running,4.86,360,00:30:35,141,170,3.3,155,183,06:18:00,03:41:00,18,20,0.99,0,4612,No,00:00:58.900000,21,00:30:30,00:30:35,328,339
Running,2026-04-25 19:35:50,False,Puslinch Running,4.01,300,00:29:53,122,132,2.4,164,178,07:27:00,05:47:00,25,25,0.82,0,4766,No,00:00:17.900000,5,00:29:17,00:31:30,315,339
Running,2026-04-24 12:35:13,False,Puslinch Running,5.63,385,00:33:02,136,165,3.4,170,181,05:52:00,04:47:00,26,25,1,0,5580,No,00:03:17.900000,6,00:32:52,00:33:08,315,339
Running,2026-04-22 19:22:52,False,Puslinch Running,5.08,377,00:30:42,144,176,3.6,163,249,06:03:00,03:20:00,14,26,1.01,0,4930,No,00:00:47.300000,21,00:30:39,00:30:42,315,339
Running,2026-04-17 18:40:11,False,Puslinch Running,4.48,314,00:29:33,125,169,2.8,167,181,06:35:00,04:24:00,17,26,0.91,0,4964,No,00:02:13.500000,5,00:29:32,00:29:33,315,338
Running,2026-04-16 19:11:29,False,Puslinch Running,2.9,229,00:20:36,127,144,2.6,167,179,07:06:00,04:53:00,11,2,0.84,0,3376,No,00:06:16.900000,3,00:20:31,00:21:03,315,338
Running,2026-04-16 18:48:07,False,Puslinch Running,1.29,84,00:09:28.100000,114,125,1.5,163,175,07:20:00,05:34:00,--,21,0.84,0,1432,No,00:01:51.300000,2,00:08:48,00:16:05,316,339
Running,2026-04-15 17:00:10,False,Puslinch Running,4.94,369,00:29:02,146,174,3.8,167,187,05:53:00,03:41:00,5,6,1.01,0,4706,No,00:00:57.300000,19,00:28:57,00:29:02,328,339
Running,2026-04-14 15:17:14,False,Puslinch Running,4.81,262,00:33:59,110,137,1.7,164,174,07:04:00,05:07:00,26,37,0.86,0,5398,No,00:05:06.600000,5,00:33:39,00:36:00,315,339
Running,2026-04-11 17:53:03,False,Puslinch Running,4.92,334,00:27:41,146,172,3.4,167,187,05:38:00,03:38:00,7,8,1.06,0,4530,No,00:00:56.400000,19,00:27:37,00:27:42,329,339
Running,2026-04-09 17:06:56,False,Puslinch Running,4.68,300,00:32:02,118,133,2.2,165,176,06:51:00,05:31:00,13,25,0.89,0,5226,No,00:04:28.200000,5,00:32:00,00:35:10,315,339
Running,2026-04-08 10:09:53,False,Puslinch Running,4.95,347,00:29:10,141,170,3.3,168,187,05:53:00,03:42:00,10,10,1.01,0,4356,No,00:05:03.200000,5,00:29:10,00:29:37,328,339
Running,2026-04-07 12:30:31,False,Puslinch Running,1.79,133,00:10:46,141,156,2.4,171,185,06:01:00,03:55:00,13,13,0.97,0,1806,No,00:04:54.800000,2,00:10:44,00:11:03,323,339
Running,2026-04-06 17:21:43,False,Puslinch Running,3.52,256,00:22:29,139,165,2.8,169,180,06:24:00,04:30:00,18,21,0.92,0,3754,No,00:03:04.600000,4,00:22:22,00:22:29,315,339
Running,2026-04-01 17:56:02,False,Puslinch Running,3.61,261,00:24:26,125,136,2.4,167,174,06:46:00,06:00:00,4,8,0.89,0,4058,No,00:04:03.900000,4,00:24:21,00:24:26,328,339
Running,2026-03-31 18:17:27,False,Puslinch Running,3.58,266,00:19:28,150,172,3.5,170,183,05:27:00,04:12:00,4,5,1.08,0,3724,No,00:03:14.300000,4,00:19:26,00:19:28,328,339
Running,2026-03-30 18:16:48,False,Puslinch Running,6.18,448,00:38:56,134,160,3.4,165,176,06:18:00,04:11:00,25,28,0.96,0,6358,No,00:00:59.300000,7,00:38:54,00:38:56,315,339
Running,2026-03-29 17:30:26,False,Puslinch Running,3.53,238,00:20:25,151,175,3.1,164,178,05:47:00,04:14:00,24,23,1.05,0,3460,No,00:00:13.100000,5,00:20:21,00:20:25,315,339
Running,2026-03-23 15:50:02,False,Puslinch Running,3.55,264,00:23:20,132,141,2.9,170,176,06:35:00,06:03:00,5,7,0.9,0,3914,No,00:03:32.500000,4,00:23:17,00:23:20,328,339
Running,2026-03-22 17:02:08,False,Puslinch Running,6.5,469,00:36:33,145,169,4.2,170,183,05:37:00,04:08:00,26,30,1.05,0,6610,No,00:03:16,7,00:36:27,00:37:50,315,339
Running,2026-03-19 11:54:24,False,Puslinch Running,3.57,254,00:21:34,134,164,3.1,168,179,06:03:00,04:23:00,8,10,0.99,0,3622,No,00:02:46.200000,4,00:21:30,00:21:57,321,339
Running,2026-03-17 11:31:13,False,Puslinch Running,6.38,473,00:37:26,151,176,4.1,169,187,05:52:00,04:24:00,30,31,1.01,0,6400,No,00:02:35.200000,7,00:37:22,00:37:52,315,339
Running,2026-03-16 18:28:38,False,Puslinch Running,4.28,313,00:30:52,125,155,2.7,166,179,07:13:00,04:38:00,23,25,0.83,0,4970,No,00:01:37.500000,5,00:30:38,00:31:18,315,339
Running,2026-03-15 18:16:10,False,Puslinch Running,4.54,328,00:31:07,126,146,2.9,165,175,06:52:00,05:50:00,25,24,0.88,0,5098,No,00:03:30.800000,5,00:31:07,00:31:19,315,339
Running,2026-03-14 08:53:49,False,Puslinch Running,3.6,262,00:21:33,138,163,3.3,170,189,05:59:00,04:21:00,5,6,0.98,0,3804,No,00:03:41.300000,4,00:21:19,00:21:54,328,339
Running,2026-03-12 13:30:18,False,Puslinch Running,3.57,243,00:22:49,127,154,2.5,166,180,06:23:00,05:31:00,14,25,0.94,0,3780,No,00:03:19.300000,4,00:22:48,00:24:52,315,339
Running,2026-03-06 16:34:13,False,Puslinch Running,5.58,416,00:38:05,135,164,3,166,180,06:49:00,04:16:00,26,25,0.88,0,6098,No,00:03:35.700000,6,00:37:03,00:38:05,315,339
Running,2026-03-05 15:02:48,False,Puslinch Running,5.5,373,00:31:07,144,175,3.6,171,181,05:39:00,04:23:00,13,15,1.03,0,5656,No,00:03:00.600000,6,00:30:54,00:31:07,328,339
